"","category","term","ontology"
"6541","GO:0032273","positive regulation of protein polymerization","BP"
"6542","GO:0032279","asymmetric synapse","CC"
"6543","GO:0032280","symmetric synapse","CC"
"6544","GO:0032286","central nervous system myelin maintenance","BP"
"6545","GO:0032287","peripheral nervous system myelin maintenance","BP"
"6546","GO:0032288","myelin assembly","BP"
"6547","GO:0032289","central nervous system myelin formation","BP"
"6548","GO:0032290","peripheral nervous system myelin formation","BP"
"6549","GO:0032296","double-stranded RNA-specific ribonuclease activity","MF"
"6550","GO:0032297","negative regulation of DNA-dependent DNA replication initiation","BP"
"6551","GO:0032298","positive regulation of DNA-dependent DNA replication initiation","BP"
"6552","GO:0032299","ribonuclease H2 complex","CC"
"6553","GO:0032300","mismatch repair complex","CC"
"6554","GO:0032301","MutSalpha complex","CC"
"6555","GO:0032302","MutSbeta complex","CC"
"6556","GO:0032307","negative regulation of prostaglandin secretion","BP"
"6557","GO:0032308","positive regulation of prostaglandin secretion","BP"
"6558","GO:0032310","prostaglandin secretion","BP"
"6559","GO:0032311","angiogenin-PRI complex","CC"
"6560","GO:0032324","molybdopterin cofactor biosynthetic process","BP"
"6561","GO:0032328","alanine transport","BP"
"6562","GO:0032330","regulation of chondrocyte differentiation","BP"
"6563","GO:0032331","negative regulation of chondrocyte differentiation","BP"
"6564","GO:0032332","positive regulation of chondrocyte differentiation","BP"
"6565","GO:0032342","aldosterone biosynthetic process","BP"
"6566","GO:0032350","regulation of hormone metabolic process","BP"
"6567","GO:0032354","response to follicle-stimulating hormone","BP"
"6568","GO:0032355","response to estradiol","BP"
"6569","GO:0032357","oxidized purine DNA binding","MF"
"6570","GO:0032361","pyridoxal phosphate catabolic process","BP"
"6571","GO:0032364","oxygen homeostasis","BP"
"6572","GO:0032366","intracellular sterol transport","BP"
"6573","GO:0032367","intracellular cholesterol transport","BP"
"6574","GO:0032368","regulation of lipid transport","BP"
"6575","GO:0032370","positive regulation of lipid transport","BP"
"6576","GO:0032374","regulation of cholesterol transport","BP"
"6577","GO:0032376","positive regulation of cholesterol transport","BP"
"6578","GO:0032383","regulation of intracellular cholesterol transport","BP"
"6579","GO:0032384","negative regulation of intracellular cholesterol transport","BP"
"6580","GO:0032385","positive regulation of intracellular cholesterol transport","BP"
"6581","GO:0032388","positive regulation of intracellular transport","BP"
"6582","GO:0032389","MutLalpha complex","CC"
"6583","GO:0032391","photoreceptor connecting cilium","CC"
"6584","GO:0032392","DNA geometric change","BP"
"6585","GO:0032402","melanosome transport","BP"
"6586","GO:0032405","MutLalpha complex binding","MF"
"6587","GO:0032406","MutLbeta complex binding","MF"
"6588","GO:0032407","MutSalpha complex binding","MF"
"6589","GO:0032408","MutSbeta complex binding","MF"
"6590","GO:0032409","regulation of transporter activity","BP"
"6591","GO:0032411","positive regulation of transporter activity","BP"
"6592","GO:0032414","positive regulation of ion transmembrane transporter activity","BP"
"6593","GO:0032418","lysosome localization","BP"
"6594","GO:0032420","stereocilium","CC"
"6595","GO:0032421","stereocilium bundle","CC"
"6596","GO:0032422","purine-rich negative regulatory element binding","MF"
"6597","GO:0032426","stereocilium tip","CC"
"6598","GO:0032429","regulation of phospholipase A2 activity","BP"
"6599","GO:0032432","actin filament bundle","CC"
"6600","GO:0032433","filopodium tip","CC"
"6601","GO:0032434","regulation of proteasomal ubiquitin-dependent protein catabolic process","BP"
"6602","GO:0032435","negative regulation of proteasomal ubiquitin-dependent protein catabolic process","BP"
"6603","GO:0032436","positive regulation of proteasomal ubiquitin-dependent protein catabolic process","BP"
"6604","GO:0032437","cuticular plate","CC"
"6605","GO:0032438","melanosome organization","BP"
"6606","GO:0032441","pheophorbide a oxygenase activity","MF"
"6607","GO:0032444","activin responsive factor complex","CC"
"6608","GO:0032446","protein modification by small protein conjugation","BP"
"6609","GO:0032447","protein urmylation","BP"
"6610","GO:0032450","maltose alpha-glucosidase activity","MF"
"6611","GO:0032451","demethylase activity","MF"
"6612","GO:0032452","histone demethylase activity","MF"
"6613","GO:0032453","histone demethylase activity (H3-K4 specific)","MF"
"6614","GO:0032454","histone demethylase activity (H3-K9 specific)","MF"
"6615","GO:0032455","nerve growth factor processing","BP"
"6617","GO:0032464","positive regulation of protein homooligomerization","BP"
"6618","GO:0032465","regulation of cytokinesis","BP"
"6619","GO:0032466","negative regulation of cytokinesis","BP"
"6620","GO:0032467","positive regulation of cytokinesis","BP"
"6621","GO:0032468","Golgi calcium ion homeostasis","BP"
"6622","GO:0032469","endoplasmic reticulum calcium ion homeostasis","BP"
"6623","GO:0032470","positive regulation of endoplasmic reticulum calcium ion concentration","BP"
"6624","GO:0032471","negative regulation of endoplasmic reticulum calcium ion concentration","BP"
"6625","GO:0032472","Golgi calcium ion transport","BP"
"6626","GO:0032473","cytoplasmic side of mitochondrial outer membrane","CC"
"6627","GO:0032475","otolith formation","BP"
"6628","GO:0032479","regulation of type I interferon production","BP"
"6629","GO:0032480","negative regulation of type I interferon production","BP"
"6630","GO:0032481","positive regulation of type I interferon production","BP"
"6631","GO:0032482","Rab protein signal transduction","BP"
"6632","GO:0032483","regulation of Rab protein signal transduction","BP"
"6633","GO:0032485","regulation of Ral protein signal transduction","BP"
"6634","GO:0032486","Rap protein signal transduction","BP"
"6635","GO:0032487","regulation of Rap protein signal transduction","BP"
"6636","GO:0032489","regulation of Cdc42 protein signal transduction","BP"
"6637","GO:0032495","response to muramyl dipeptide","BP"
"6638","GO:0032496","response to lipopolysaccharide","BP"
"6639","GO:0032498","detection of muramyl dipeptide","BP"
"6640","GO:0032500","muramyl dipeptide binding","MF"
"6641","GO:0032502","developmental process","BP"
"6642","GO:0032504","multicellular organism reproduction","BP"
"6643","GO:0032508","DNA duplex unwinding","BP"
"6644","GO:0032509","endosome transport via multivesicular body sorting pathway","BP"
"6645","GO:0032510","endosome to lysosome transport via multivesicular body sorting pathway","BP"
"6646","GO:0032511","late endosome to vacuole transport via multivesicular body sorting pathway","BP"
"6647","GO:0032515","negative regulation of phosphoprotein phosphatase activity","BP"
"6648","GO:0032516","positive regulation of phosphoprotein phosphatase activity","BP"
"6649","GO:0032525","somite rostral/caudal axis specification","BP"
"6650","GO:0032526","response to retinoic acid","BP"
"6651","GO:0032527","protein exit from endoplasmic reticulum","BP"
"6652","GO:0032528","microvillus organization","BP"
"6653","GO:0032532","regulation of microvillus length","BP"
"6654","GO:0032534","regulation of microvillus assembly","BP"
"6655","GO:0032535","regulation of cellular component size","BP"
"6656","GO:0032541","cortical endoplasmic reticulum","CC"
"6657","GO:0032543","mitochondrial translation","BP"
"6658","GO:0032544","plastid translation","BP"
"6659","GO:0032545","CURI complex","CC"
"6660","GO:0032549","ribonucleoside binding","MF"
"6661","GO:0032555","purine ribonucleotide binding","MF"
"6662","GO:0032556","pyrimidine deoxyribonucleotide binding","MF"
"6663","GO:0032567","dGTP binding","MF"
"6664","GO:0032570","response to progesterone","BP"
"6665","GO:0032574","5'-3' RNA helicase activity","MF"
"6666","GO:0032577","phosphatidylcholine:cardiolipin O-linoleoyltransferase activity","MF"
"6667","GO:0032579","apical lamina of hyaline layer","CC"
"6668","GO:0032580","Golgi cisterna membrane","CC"
"6669","GO:0032581","ER-dependent peroxisome organization","BP"
"6670","GO:0032584","growth cone membrane","CC"
"6671","GO:0032585","multivesicular body membrane","CC"
"6672","GO:0032586","protein storage vacuole membrane","CC"
"6673","GO:0032587","ruffle membrane","CC"
"6674","GO:0032588","trans-Golgi network membrane","CC"
"6675","GO:0032589","neuron projection membrane","CC"
"6676","GO:0032590","dendrite membrane","CC"
"6677","GO:0032591","dendritic spine membrane","CC"
"6678","GO:0032592","integral component of mitochondrial membrane","CC"
"6679","GO:0032593","insulin-responsive compartment","CC"
"6680","GO:0032648","regulation of interferon-beta production","BP"
"6681","GO:0032680","regulation of tumor necrosis factor production","BP"
"6682","GO:0032682","negative regulation of chemokine production","BP"
"6683","GO:0032687","negative regulation of interferon-alpha production","BP"
"6684","GO:0032688","negative regulation of interferon-beta production","BP"
"6685","GO:0032691","negative regulation of interleukin-1 beta production","BP"
"6686","GO:0032693","negative regulation of interleukin-10 production","BP"
"6687","GO:0032695","negative regulation of interleukin-12 production","BP"
"6688","GO:0032700","negative regulation of interleukin-17 production","BP"
"6689","GO:0032703","negative regulation of interleukin-2 production","BP"
"6690","GO:0032707","negative regulation of interleukin-23 production","BP"
"6691","GO:0032715","negative regulation of interleukin-6 production","BP"
"6692","GO:0032717","negative regulation of interleukin-8 production","BP"
"6693","GO:0032720","negative regulation of tumor necrosis factor production","BP"
"6694","GO:0032722","positive regulation of chemokine production","BP"
"6695","GO:0032723","positive regulation of connective tissue growth factor production","BP"
"6696","GO:0032728","positive regulation of interferon-beta production","BP"
"6697","GO:0032729","positive regulation of interferon-gamma production","BP"
"6698","GO:0032731","positive regulation of interleukin-1 beta production","BP"
"6699","GO:0032732","positive regulation of interleukin-1 production","BP"
"6700","GO:0032735","positive regulation of interleukin-12 production","BP"
"6701","GO:0032740","positive regulation of interleukin-17 production","BP"
"6702","GO:0032741","positive regulation of interleukin-18 production","BP"
"6703","GO:0032743","positive regulation of interleukin-2 production","BP"
"6704","GO:0032753","positive regulation of interleukin-4 production","BP"
"6705","GO:0032755","positive regulation of interleukin-6 production","BP"
"6706","GO:0032757","positive regulation of interleukin-8 production","BP"
"6707","GO:0032760","positive regulation of tumor necrosis factor production","BP"
"6708","GO:0032767","copper-dependent protein binding","MF"
"6709","GO:0032770","positive regulation of monooxygenase activity","BP"
"6710","GO:0032775","DNA methylation on adenine","BP"
"6711","GO:0032776","DNA methylation on cytosine","BP"
"6712","GO:0032777","Piccolo NuA4 histone acetyltransferase complex","CC"
"6713","GO:0032780","negative regulation of ATPase activity","BP"
"6714","GO:0032781","positive regulation of ATPase activity","BP"
"6715","GO:0032782","bile acid secretion","BP"
"6716","GO:0032784","regulation of DNA-templated transcription, elongation","BP"
"6717","GO:0032785","negative regulation of DNA-templated transcription, elongation","BP"
"6718","GO:0032786","positive regulation of DNA-templated transcription, elongation","BP"
"6719","GO:0032790","ribosome disassembly","BP"
"6720","GO:0032791","lead ion binding","MF"
"6721","GO:0032792","negative regulation of CREB transcription factor activity","BP"
"6722","GO:0032793","positive regulation of CREB transcription factor activity","BP"
"6723","GO:0032794","GTPase activating protein binding","MF"
"6724","GO:0032795","heterotrimeric G-protein binding","MF"
"6725","GO:0032797","SMN complex","CC"
"6726","GO:0032801","receptor catabolic process","BP"
"6727","GO:0032802","low-density lipoprotein particle receptor catabolic process","BP"
"6728","GO:0032803","regulation of low-density lipoprotein particle receptor catabolic process","BP"
"6729","GO:0032804","negative regulation of low-density lipoprotein particle receptor catabolic process","BP"
"6730","GO:0032805","positive regulation of low-density lipoprotein particle receptor catabolic process","BP"
"6731","GO:0032807","DNA ligase IV complex","CC"
"6732","GO:0032809","neuronal cell body membrane","CC"
"6733","GO:0032810","sterol response element binding","MF"
"6734","GO:0032811","negative regulation of epinephrine secretion","BP"
"6735","GO:0032835","glomerulus development","BP"
"6736","GO:0032836","glomerular basement membrane development","BP"
"6737","GO:0032838","plasma membrane bounded cell projection cytoplasm","CC"
"6738","GO:0032839","dendrite cytoplasm","CC"
"6739","GO:0032866","D-xylose:NADP reductase activity","MF"
"6740","GO:0032868","response to insulin","BP"
"6741","GO:0032869","cellular response to insulin stimulus","BP"
"6742","GO:0032870","cellular response to hormone stimulus","BP"
"6743","GO:0032872","regulation of stress-activated MAPK cascade","BP"
"6744","GO:0032873","negative regulation of stress-activated MAPK cascade","BP"
"6745","GO:0032874","positive regulation of stress-activated MAPK cascade","BP"
"6746","GO:0032875","regulation of DNA endoreduplication","BP"
"6747","GO:0032877","positive regulation of DNA endoreduplication","BP"
"6748","GO:0032878","regulation of establishment or maintenance of cell polarity","BP"
"6749","GO:0032880","regulation of protein localization","BP"
"6750","GO:0032885","regulation of polysaccharide biosynthetic process","BP"
"6751","GO:0032886","regulation of microtubule-based process","BP"
"6752","GO:0032888","regulation of mitotic spindle elongation","BP"
"6753","GO:0032889","regulation of vacuole fusion, non-autophagic","BP"
"6754","GO:0032897","negative regulation of viral transcription","BP"
"6755","GO:0032902","nerve growth factor production","BP"
"6756","GO:0032909","regulation of transforming growth factor beta2 production","BP"
"6757","GO:0032911","negative regulation of transforming growth factor beta1 production","BP"
"6758","GO:0032918","spermidine acetylation","BP"
"6759","GO:0032919","spermine acetylation","BP"
"6760","GO:0032920","putrescine acetylation","BP"
"6761","GO:0032922","circadian regulation of gene expression","BP"
"6762","GO:0032923","organic phosphonate biosynthetic process","BP"
"6763","GO:0032924","activin receptor signaling pathway","BP"
"6764","GO:0032925","regulation of activin receptor signaling pathway","BP"
"6765","GO:0032927","positive regulation of activin receptor signaling pathway","BP"
"6766","GO:0032929","negative regulation of superoxide anion generation","BP"
"6767","GO:0032933","SREBP signaling pathway","BP"
"6768","GO:0032934","sterol binding","MF"
"6769","GO:0032937","SREBP-SCAP-Insig complex","CC"
"6770","GO:0032940","secretion by cell","BP"
"6773","GO:0032957","inositol trisphosphate metabolic process","BP"
"6774","GO:0032958","inositol phosphate biosynthetic process","BP"
"6775","GO:0032959","inositol trisphosphate biosynthetic process","BP"
"6776","GO:0032960","regulation of inositol trisphosphate biosynthetic process","BP"
"6777","GO:0032962","positive regulation of inositol trisphosphate biosynthetic process","BP"
"6778","GO:0032963","collagen metabolic process","BP"
"6779","GO:0032964","collagen biosynthetic process","BP"
"6780","GO:0032965","regulation of collagen biosynthetic process","BP"
"6781","GO:0032967","positive regulation of collagen biosynthetic process","BP"
"6782","GO:0032968","positive regulation of transcription elongation from RNA polymerase II promoter","BP"
"6783","GO:0032970","regulation of actin filament-based process","BP"
"6784","GO:0032972","regulation of muscle filament sliding speed","BP"
"6785","GO:0032974","amino acid transmembrane export from vacuole","BP"
"6786","GO:0032975","amino acid transmembrane import into vacuole","BP"
"6787","GO:0032977","membrane insertase activity","MF"
"6788","GO:0032978","protein insertion into membrane from inner side","BP"
"6789","GO:0032979","protein insertion into mitochondrial inner membrane from matrix","BP"
"6790","GO:0032981","mitochondrial respiratory chain complex I assembly","BP"
"6791","GO:0032982","myosin filament","CC"
"6792","GO:0032984","protein-containing complex disassembly","BP"
"6793","GO:0032986","protein-DNA complex disassembly","BP"
"6794","GO:0032991","protein-containing complex","CC"
"6795","GO:0032993","protein-DNA complex","CC"
"6796","GO:0033003","regulation of mast cell activation","BP"
"6797","GO:0033010","paranodal junction","CC"
"6798","GO:0033013","tetrapyrrole metabolic process","BP"
"6799","GO:0033014","tetrapyrrole biosynthetic process","BP"
"6800","GO:0033017","sarcoplasmic reticulum membrane","CC"
"6801","GO:0033018","sarcoplasmic reticulum lumen","CC"
"6802","GO:0033022","cyclopentanol catabolic process","BP"
"6803","GO:0033023","mast cell homeostasis","BP"
"6804","GO:0033031","positive regulation of neutrophil apoptotic process","BP"
"6805","GO:0033032","regulation of myeloid cell apoptotic process","BP"
"6806","GO:0033033","negative regulation of myeloid cell apoptotic process","BP"
"6807","GO:0033040","sour taste receptor activity","MF"
"6808","GO:0033044","regulation of chromosome organization","BP"
"6809","GO:0033051","aminophosphonate metabolic process","BP"
"6810","GO:0033058","directional locomotion","BP"
"6811","GO:0033063","Rad51B-Rad51C-Rad51D-XRCC2 complex","CC"
"6812","GO:0033065","Rad51C-XRCC3 complex","CC"
"6813","GO:0033068","macrolide biosynthetic process","BP"
"6814","GO:0033077","T cell differentiation in thymus","BP"
"6815","GO:0033081","regulation of T cell differentiation in thymus","BP"
"6816","GO:0033089","positive regulation of T cell differentiation in thymus","BP"
"6817","GO:0033101","cellular bud membrane","CC"
"6818","GO:0033103","protein secretion by the type VI secretion system","BP"
"6819","GO:0033104","type VI protein secretion system complex","CC"
"6820","GO:0033106","cis-Golgi network membrane","CC"
"6821","GO:0033108","mitochondrial respiratory chain complex assembly","BP"
"6822","GO:0033115","cyanelle thylakoid membrane","CC"
"6823","GO:0033116","endoplasmic reticulum-Golgi intermediate compartment membrane","CC"
"6824","GO:0033118","esterosome membrane","CC"
"6825","GO:0033119","negative regulation of RNA splicing","BP"
"6826","GO:0033120","positive regulation of RNA splicing","BP"
"6827","GO:0033129","positive regulation of histone phosphorylation","BP"
"6828","GO:0033130","acetylcholine receptor binding","MF"
"6829","GO:0033132","negative regulation of glucokinase activity","BP"
"6830","GO:0033133","positive regulation of glucokinase activity","BP"
"6831","GO:0033135","regulation of peptidyl-serine phosphorylation","BP"
"6832","GO:0033137","negative regulation of peptidyl-serine phosphorylation","BP"
"6833","GO:0033138","positive regulation of peptidyl-serine phosphorylation","BP"
"6834","GO:0033141","positive regulation of peptidyl-serine phosphorylation of STAT protein","BP"
"6835","GO:0033144","negative regulation of intracellular steroid hormone receptor signaling pathway","BP"
"6836","GO:0033146","regulation of intracellular estrogen receptor signaling pathway","BP"
"6837","GO:0033147","negative regulation of intracellular estrogen receptor signaling pathway","BP"
"6838","GO:0033148","positive regulation of intracellular estrogen receptor signaling pathway","BP"
"6839","GO:0033151","V(D)J recombination","BP"
"6840","GO:0033152","immunoglobulin V(D)J recombination","BP"
"6841","GO:0033153","T cell receptor V(D)J recombination","BP"
"6842","GO:0033157","regulation of intracellular protein transport","BP"
"6843","GO:0033162","melanosome membrane","CC"
"6844","GO:0033163","microneme membrane","CC"
"6845","GO:0033164","glycolipid 6-alpha-mannosyltransferase activity","MF"
"6846","GO:0033165","interphotoreceptor matrix","CC"
"6847","GO:0033169","histone H3-K9 demethylation","BP"
"6848","GO:0033173","calcineurin-NFAT signaling cascade","BP"
"6849","GO:0033176","proton-transporting V-type ATPase complex","CC"
"6850","GO:0033178","proton-transporting two-sector ATPase complex, catalytic domain","CC"
"6851","GO:0033179","proton-transporting V-type ATPase, V0 domain","CC"
"6852","GO:0033180","proton-transporting V-type ATPase, V1 domain","CC"
"6853","GO:0033181","plasma membrane proton-transporting V-type ATPase complex","CC"
"6854","GO:0033185","dolichol-phosphate-mannose synthase complex","CC"
"6855","GO:0033186","CAF-1 complex","CC"
"6856","GO:0033188","sphingomyelin synthase activity","MF"
"6857","GO:0033189","response to vitamin A","BP"
"6858","GO:0033192","calmodulin-dependent protein phosphatase activity","MF"
"6859","GO:0033194","response to hydroperoxide","BP"
"6860","GO:0033197","response to vitamin E","BP"
"6861","GO:0033198","response to ATP","BP"
"6862","GO:0033201","alpha-1,4-glucan synthase activity","MF"
"6863","GO:0033204","ribonuclease P RNA binding","MF"
"6864","GO:0033207","beta-1,4-N-acetylgalactosaminyltransferase activity","MF"
"6865","GO:0033209","tumor necrosis factor-mediated signaling pathway","BP"
"6866","GO:0033210","leptin-mediated signaling pathway","BP"
"6867","GO:0033211","adiponectin-activated signaling pathway","BP"
"6868","GO:0033212","iron import into cell","BP"
"6869","GO:0033214","siderophore-dependent iron import into cell","BP"
"6870","GO:0033218","amide binding","MF"
"6871","GO:0033227","dsRNA transport","BP"
"6872","GO:0033229","cysteine transmembrane transporter activity","MF"
"6873","GO:0033231","carbohydrate export","BP"
"6874","GO:0033233","regulation of protein sumoylation","BP"
"6875","GO:0033254","vacuolar transporter chaperone complex","CC"
"6876","GO:0033259","plastid DNA replication","BP"
"6877","GO:0033262","regulation of nuclear cell cycle DNA replication","BP"
"6878","GO:0033263","CORVET complex","CC"
"6879","GO:0033265","choline binding","MF"
"6880","GO:0033268","node of Ranvier","CC"
"6881","GO:0033270","paranode region of axon","CC"
"6882","GO:0033273","response to vitamin","BP"
"6883","GO:0033275","actin-myosin filament sliding","BP"
"6884","GO:0033276","transcription factor TFTC complex","CC"
"6885","GO:0033278","cell proliferation in midbrain","BP"
"6886","GO:0033280","response to vitamin D","BP"
"6887","GO:0033281","TAT protein transport complex","CC"
"6888","GO:0033290","eukaryotic 48S preinitiation complex","CC"
"6889","GO:0033292","T-tubule organization","BP"
"6890","GO:0033298","contractile vacuole organization","BP"
"6891","GO:0033299","secretion of lysosomal enzymes","BP"
"6892","GO:0033300","dehydroascorbic acid transmembrane transporter activity","MF"
"6893","GO:0033306","phytol metabolic process","BP"
"6894","GO:0033313","meiotic cell cycle checkpoint","BP"
"6895","GO:0033314","mitotic DNA replication checkpoint","BP"
"6896","GO:0033316","meiotic spindle assembly checkpoint","BP"
"6897","GO:0033320","UDP-D-xylose biosynthetic process","BP"
"6898","GO:0033326","cerebrospinal fluid secretion","BP"
"6899","GO:0033327","Leydig cell differentiation","BP"
"6900","GO:0033328","peroxisome membrane targeting sequence binding","MF"
"6901","GO:0033333","fin development","BP"
"6902","GO:0033339","pectoral fin development","BP"
"6903","GO:0033342","negative regulation of collagen binding","BP"
"6904","GO:0033344","cholesterol efflux","BP"
"6905","GO:0033345","asparagine catabolic process via L-aspartate","BP"
"6906","GO:0033353","S-adenosylmethionine cycle","BP"
"6907","GO:0033355","ascorbate glutathione cycle","BP"
"6908","GO:0033358","UDP-L-arabinose biosynthetic process","BP"
"6909","GO:0033362","lysine biosynthetic process via diaminopimelate, diaminopimelate-aminotransferase pathway","BP"
"6910","GO:0033363","secretory granule organization","BP"
"6911","GO:0033365","protein localization to organelle","BP"
"6912","GO:0033384","geranyl diphosphate biosynthetic process","BP"
"6913","GO:0033385","geranylgeranyl diphosphate metabolic process","BP"
"6914","GO:0033386","geranylgeranyl diphosphate biosynthetic process","BP"
"6915","GO:0033387","putrescine biosynthetic process from ornithine","BP"
"6916","GO:0033389","putrescine biosynthetic process from arginine, using agmatinase","BP"
"6917","GO:0033391","chromatoid body","CC"
"6918","GO:0033468","CMP-keto-3-deoxy-D-manno-octulosonic acid biosynthetic process","BP"
"6919","GO:0033477","S-methylmethionine metabolic process","BP"
"6920","GO:0033489","cholesterol biosynthetic process via desmosterol","BP"
"6921","GO:0033490","cholesterol biosynthetic process via lathosterol","BP"
"6922","GO:0033499","galactose catabolic process via UDP-galactose","BP"
"6923","GO:0033500","carbohydrate homeostasis","BP"
"6924","GO:0033503","HULC complex","CC"
"6925","GO:0033504","floor plate development","BP"
"6926","GO:0033512","L-lysine catabolic process to acetyl-CoA via saccharopine","BP"
"6927","GO:0033514","L-lysine catabolic process to acetyl-CoA via L-pipecolate","BP"
"6928","GO:0033518","myo-inositol hexakisphosphate dephosphorylation","BP"
"6929","GO:0033521","phytyl diphosphate biosynthetic process","BP"
"6930","GO:0033522","histone H2A ubiquitination","BP"
"6931","GO:0033523","histone H2B ubiquitination","BP"
"6932","GO:0033531","stachyose metabolic process","BP"
"6933","GO:0033539","fatty acid beta-oxidation using acyl-CoA dehydrogenase","BP"
"6934","GO:0033540","fatty acid beta-oxidation using acyl-CoA oxidase","BP"
"6935","GO:0033549","MAP kinase phosphatase activity","MF"
"6936","GO:0033550","MAP kinase tyrosine phosphatase activity","MF"
"6937","GO:0033551","monopolin complex","CC"
"6938","GO:0033553","rDNA heterochromatin","CC"
"6939","GO:0033555","multicellular organismal response to stress","BP"
"6940","GO:0033557","Slx1-Slx4 complex","CC"
"6941","GO:0033558","protein deacetylase activity","MF"
"6942","GO:0033559","unsaturated fatty acid metabolic process","BP"
"6943","GO:0033561","regulation of water loss via skin","BP"
"6945","GO:0033564","anterior/posterior axon guidance","BP"
"6946","GO:0033566","gamma-tubulin complex localization","BP"
"6947","GO:0033567","DNA replication, Okazaki fragment processing","BP"
"6948","GO:0033572","transferrin transport","BP"
"6949","GO:0033573","high-affinity iron permease complex","CC"
"6950","GO:0033574","response to testosterone","BP"
"6951","GO:0033577","protein glycosylation in endoplasmic reticulum","BP"
"6952","GO:0033578","protein glycosylation in Golgi","BP"
"6953","GO:0033588","Elongator holoenzyme complex","CC"
"6954","GO:0033591","response to L-ascorbic acid","BP"
"6955","GO:0033592","RNA strand annealing activity","MF"
"6956","GO:0033596","TSC1-TSC2 complex","CC"
"6957","GO:0033597","mitotic checkpoint complex","CC"
"6958","GO:0033598","mammary gland epithelial cell proliferation","BP"
"6959","GO:0033599","regulation of mammary gland epithelial cell proliferation","BP"
"6960","GO:0033601","positive regulation of mammary gland epithelial cell proliferation","BP"
"6961","GO:0033602","negative regulation of dopamine secretion","BP"
"6962","GO:0033609","oxalate metabolic process","BP"
"6963","GO:0033611","oxalate catabolic process","BP"
"6964","GO:0033613","activating transcription factor binding","MF"
"6965","GO:0033615","mitochondrial proton-transporting ATP synthase complex assembly","BP"
"6966","GO:0033617","mitochondrial cytochrome c oxidase assembly","BP"
"6967","GO:0033619","membrane protein proteolysis","BP"
"6968","GO:0033620","Mei2 nuclear dot complex","CC"
"6969","GO:0033621","nuclear-transcribed mRNA catabolic process, meiosis-specific transcripts","BP"
"6970","GO:0033622","integrin activation","BP"
"6971","GO:0033623","regulation of integrin activation","BP"
"6972","GO:0033624","negative regulation of integrin activation","BP"
"6973","GO:0033625","positive regulation of integrin activation","BP"
"6974","GO:0033627","cell adhesion mediated by integrin","BP"
"6975","GO:0033628","regulation of cell adhesion mediated by integrin","BP"
"6976","GO:0033630","positive regulation of cell adhesion mediated by integrin","BP"
"6977","GO:0033631","cell-cell adhesion mediated by integrin","BP"
"6978","GO:0033632","regulation of cell-cell adhesion mediated by integrin","BP"
"6979","GO:0033644","host cell membrane","CC"
"6980","GO:0033668","negative regulation by symbiont of host apoptotic process","BP"
"6981","GO:0033673","negative regulation of kinase activity","BP"
"6982","GO:0033674","positive regulation of kinase activity","BP"
"6983","GO:0033677","DNA/RNA helicase activity","MF"
"6984","GO:0033678","5'-3' DNA/RNA helicase activity","MF"
"6985","GO:0033679","3'-5' DNA/RNA helicase activity","MF"
"6986","GO:0033683","nucleotide-excision repair, DNA incision","BP"
"6987","GO:0033685","negative regulation of luteinizing hormone secretion","BP"
"6988","GO:0033686","positive regulation of luteinizing hormone secretion","BP"
"6989","GO:0033687","osteoblast proliferation","BP"
"6990","GO:0033688","regulation of osteoblast proliferation","BP"
"6991","GO:0033689","negative regulation of osteoblast proliferation","BP"
"6992","GO:0033690","positive regulation of osteoblast proliferation","BP"
"6993","GO:0033691","sialic acid binding","MF"
"6994","GO:0033692","cellular polysaccharide biosynthetic process","BP"
"6995","GO:0033693","neurofilament bundle assembly","BP"
"6996","GO:0033696","negative regulation of extent of heterochromatin assembly","BP"
"6997","GO:0033699","DNA 5'-adenosine monophosphate hydrolase activity","MF"
"6998","GO:0033700","phospholipid efflux","BP"
"6999","GO:0033712","1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming) activity","MF"
"7000","GO:0033721","aldehyde dehydrogenase (NADP+) activity","MF"
"7001","GO:0033727","aldehyde dehydrogenase (FAD-independent) activity","MF"
"7002","GO:0033728","divinyl chlorophyllide a 8-vinyl-reductase activity","MF"
"7003","GO:0033730","arogenate dehydrogenase (NADP+) activity","MF"
"7004","GO:0033739","preQ1 synthase activity","MF"
"7005","GO:0033743","peptide-methionine (R)-S-oxide reductase activity","MF"
"7006","GO:0033744","L-methionine:thioredoxin-disulfide S-oxidoreductase activity","MF"
"7007","GO:0033746","histone demethylase activity (H3-R2 specific)","MF"
"7008","GO:0033749","histone demethylase activity (H4-R3 specific)","MF"
"7009","GO:0033754","indoleamine 2,3-dioxygenase activity","MF"
"7010","GO:0033762","response to glucagon","BP"
"7011","GO:0033781","cholesterol 24-hydroxylase activity","MF"
"7012","GO:0033783","25-hydroxycholesterol 7alpha-hydroxylase activity","MF"
"7013","GO:0033784","senecionine N-oxygenase activity","MF"
"7014","GO:0033785","heptose 7-phosphate kinase activity","MF"
"7015","GO:0033786","heptose-1-phosphate adenylyltransferase activity","MF"
"7016","GO:0033787","cyanocobalamin reductase (cyanide-eliminating) activity","MF"
"7017","GO:0033797","selenate reductase activity","MF"
"7018","GO:0033798","thyroxine 5-deiodinase activity","MF"
"7019","GO:0033814","propanoyl-CoA C-acyltransferase activity","MF"
"7020","GO:0033816","diaminobutyrate acetyltransferase activity","MF"
